1763291482.729478 client started (454356): version 3.2a, socket /tmp/tmux-1000/default, protocol 8
1763291482.729548 on Linux 6.16.3-76061603-generic #202508231538~1758561135~22.04~171c8de SMP PREEMPT_DYNAMIC Mon S
1763291482.730323 sending message 112 to peer 0x630a558b0160 (10 bytes)
1763291482.730324 sending message 112 to peer 0x630a558b0160 (10 bytes)
1763291482.730325 sending message 112 to peer 0x630a558b0160 (10 bytes)
1763291482.730326 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730327 sending message 112 to peer 0x630a558b0160 (15 bytes)
1763291482.730328 sending message 112 to peer 0x630a558b0160 (5 bytes)
1763291482.730329 sending message 104 to peer 0x630a558b0160 (0 bytes)
1763291482.730330 sending message 110 to peer 0x630a558b0160 (0 bytes)
1763291482.730331 sending message 107 to peer 0x630a558b0160 (4 bytes)
1763291482.730332 sending message 105 to peer 0x630a558b0160 (15 bytes)
1763291482.730333 sending message 105 to peer 0x630a558b0160 (20 bytes)
1763291482.730335 sending message 105 to peer 0x630a558b0160 (54 bytes)
1763291482.730336 sending message 105 to peer 0x630a558b0160 (23 bytes)
1763291482.730337 sending message 105 to peer 0x630a558b0160 (11 bytes)
1763291482.730338 sending message 105 to peer 0x630a558b0160 (40 bytes)
1763291482.730339 sending message 105 to peer 0x630a558b0160 (22 bytes)
1763291482.730340 sending message 105 to peer 0x630a558b0160 (18 bytes)
1763291482.730341 sending message 105 to peer 0x630a558b0160 (52 bytes)
1763291482.730342 sending message 105 to peer 0x630a558b0160 (88 bytes)
1763291482.730343 sending message 105 to peer 0x630a558b0160 (19 bytes)
1763291482.730344 sending message 105 to peer 0x630a558b0160 (28 bytes)
1763291482.730345 sending message 105 to peer 0x630a558b0160 (75 bytes)
1763291482.730347 sending message 105 to peer 0x630a558b0160 (18 bytes)
1763291482.730348 sending message 105 to peer 0x630a558b0160 (28 bytes)
1763291482.730349 sending message 105 to peer 0x630a558b0160 (22 bytes)
1763291482.730350 sending message 105 to peer 0x630a558b0160 (21 bytes)
1763291482.730351 sending message 105 to peer 0x630a558b0160 (22 bytes)
1763291482.730352 sending message 105 to peer 0x630a558b0160 (28 bytes)
1763291482.730353 sending message 105 to peer 0x630a558b0160 (33 bytes)
1763291482.730354 sending message 105 to peer 0x630a558b0160 (31 bytes)
1763291482.730355 sending message 105 to peer 0x630a558b0160 (23 bytes)
1763291482.730356 sending message 105 to peer 0x630a558b0160 (17 bytes)
1763291482.730357 sending message 105 to peer 0x630a558b0160 (10 bytes)
1763291482.730358 sending message 105 to peer 0x630a558b0160 (15 bytes)
1763291482.730359 sending message 105 to peer 0x630a558b0160 (279 bytes)
1763291482.730360 sending message 105 to peer 0x630a558b0160 (13 bytes)
1763291482.730361 sending message 105 to peer 0x630a558b0160 (31 bytes)
1763291482.730362 sending message 105 to peer 0x630a558b0160 (19 bytes)
1763291482.730363 sending message 105 to peer 0x630a558b0160 (30 bytes)
1763291482.730364 sending message 105 to peer 0x630a558b0160 (18 bytes)
1763291482.730365 sending message 105 to peer 0x630a558b0160 (15 bytes)
1763291482.730366 sending message 105 to peer 0x630a558b0160 (50 bytes)
1763291482.730367 sending message 105 to peer 0x630a558b0160 (8 bytes)
1763291482.730369 sending message 105 to peer 0x630a558b0160 (51 bytes)
1763291482.730370 sending message 105 to peer 0x630a558b0160 (38 bytes)
1763291482.730370 sending message 105 to peer 0x630a558b0160 (19 bytes)
1763291482.730371 sending message 105 to peer 0x630a558b0160 (22 bytes)
1763291482.730373 sending message 105 to peer 0x630a558b0160 (20 bytes)
1763291482.730374 sending message 105 to peer 0x630a558b0160 (15 bytes)
1763291482.730375 sending message 105 to peer 0x630a558b0160 (12 bytes)
1763291482.730376 sending message 105 to peer 0x630a558b0160 (16 bytes)
1763291482.730377 sending message 105 to peer 0x630a558b0160 (12 bytes)
1763291482.730378 sending message 105 to peer 0x630a558b0160 (17 bytes)
1763291482.730379 sending message 105 to peer 0x630a558b0160 (13 bytes)
1763291482.730380 sending message 105 to peer 0x630a558b0160 (41 bytes)
1763291482.730381 sending message 105 to peer 0x630a558b0160 (16 bytes)
1763291482.730382 sending message 105 to peer 0x630a558b0160 (29 bytes)
1763291482.730383 sending message 105 to peer 0x630a558b0160 (78 bytes)
1763291482.730384 sending message 105 to peer 0x630a558b0160 (24 bytes)
1763291482.730385 sending message 105 to peer 0x630a558b0160 (181 bytes)
1763291482.730387 sending message 105 to peer 0x630a558b0160 (31 bytes)
1763291482.730388 sending message 105 to peer 0x630a558b0160 (15 bytes)
1763291482.730389 sending message 105 to peer 0x630a558b0160 (23 bytes)
1763291482.730390 sending message 105 to peer 0x630a558b0160 (27 bytes)
1763291482.730391 sending message 105 to peer 0x630a558b0160 (19 bytes)
1763291482.730392 sending message 105 to peer 0x630a558b0160 (21 bytes)
1763291482.730393 sending message 105 to peer 0x630a558b0160 (11 bytes)
1763291482.730394 sending message 105 to peer 0x630a558b0160 (20 bytes)
1763291482.730395 sending message 105 to peer 0x630a558b0160 (33 bytes)
1763291482.730396 sending message 105 to peer 0x630a558b0160 (16 bytes)
1763291482.730397 sending message 105 to peer 0x630a558b0160 (29 bytes)
1763291482.730398 sending message 105 to peer 0x630a558b0160 (45 bytes)
1763291482.730399 sending message 105 to peer 0x630a558b0160 (57 bytes)
1763291482.730400 sending message 105 to peer 0x630a558b0160 (26 bytes)
1763291482.730401 sending message 105 to peer 0x630a558b0160 (35 bytes)
1763291482.730402 sending message 105 to peer 0x630a558b0160 (38 bytes)
1763291482.730403 sending message 105 to peer 0x630a558b0160 (46 bytes)
1763291482.730404 sending message 105 to peer 0x630a558b0160 (30 bytes)
1763291482.730405 sending message 105 to peer 0x630a558b0160 (34 bytes)
1763291482.730408 sending message 105 to peer 0x630a558b0160 (1519 bytes)
1763291482.730411 sending message 105 to peer 0x630a558b0160 (16 bytes)
1763291482.730412 sending message 106 to peer 0x630a558b0160 (0 bytes)
1763291482.730416 sending message 200 to peer 0x630a558b0160 (4 bytes)
1763291482.730417 client loop enter
1763291482.736814 peer 0x630a558b0160 message 207
1763291482.736853 sending message 208 to peer 0x630a558b0160 (0 bytes)
1763291498.122615 peer 0x630a558b0160 message 201
1763291498.122627 sending message 205 to peer 0x630a558b0160 (0 bytes)
1763291498.122860 peer 0x630a558b0160 message 204
1763291498.122861 client loop exit
